'CEST';'NCM/SH';'DESCRIÇÃO'
'01.033.00';'8414.10.00';'Bombas de vácuo'
'01.034.00';'8414.80.1';'Compressores e turbocompressores de ar'
'01.034.00';'8414.80.2';'Compressores e turbocompressores de ar'
'01.035.00';'8413.91.90';'Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00'
'01.035.00';'8414.90.10';'Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00'
'01.035.00';'8414.90.3';'Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00'
'01.035.00';'8414.90.39';'Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00'
'01.036.00';'8415.2';'Máquinas e aparelhos de ar condicionado'
'01.037.00';'8421.23.00';'Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão'
'01.038.00';'8421.29.90';'Filtros a vácuo'
'01.039.00';'8421.9';'Partes dos aparelhos para filtrar ou depurar líquidos ou gases'
'01.040.00';'8424.10.00';'Extintores, mesmo carregados'
'01.041.00';'8421.31.00';'Filtros de entrada de ar para motores de ignição por centelha ou por compressão'
'01.042.00';'8421.39.20';'Depuradores por conversão catalítica de gases de escape'
'01.043.00';'8425.42.00';'Macacos'
'01.044.00';'8431.10.10';'Partes para macacos do CEST 01.043.00'
'01.045.00';'8431.49.2';'Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias'
'01.045.01';'8433.90.90';'Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias'
'01.046.00';'8481.10.00';'Válvulas redutoras de pressão'
'01.047.00';'8481.2';'Válvulas para transmissão óleo-hidráulicas ou pneumáticas'
'01.048.00';'8481.80.92';'Válvulas solenoides'
'01.049.00';'8482';'Rolamentos'
'01.050.00';'8483';'Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação'
'01.051.00';'8484';'Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)'
'01.052.00';'8505.2';'Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos'
'01.053.00';'8507.1';'Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no CEST 01.053.01'
'01.053.00';'8507.1';'Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão'
'01.053.01';'8507.10.10';'Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V'
'01.054.00';'8511';'Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores'
'01.055.00';'8512.20';'Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes'
'01.055.00';'8512.40';'Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes'
'01.055.00';'8512.90.00';'Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes'
'01.056.00';'8517.12.13';'Telefones móveis do tipo dos utilizados em veículos automóveis.'
'01.057.00';'8518';'Alto-falantes, amplificadores elétricos de audiofrequência e partes'
'01.058.00';'8518.50.00';'Aparelhos elétricos de amplificação de som para veículos automotores'
'01.059.00';'8519.81';'Aparelhos de reprodução de som'
'01.060.00';'8525.50.1';'Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)'
'01.060.00';'8525.60.10';'Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)'
'01.061.00';'8527.21.00';'Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis'
'01.062.00';'8527.29.00';'Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis'
'01.062.01';'8521.90.90';'Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores'
'01.063.00';'8529.10.90';'Antenas'
'01.064.00';'8534';'Circuitos impressos'
'01.065.00';'8535.30
8536.50';'Interruptores e seccionadores e comutadores'
'01.066.00';'8536.10.00';'Fusíveis e corta-circuitos de fusíveis'
'01.067.00';'8536.20.00';'Disjuntores'
'01.068.00';'8536.4';'Relés'
'01.069.00';'8538';'Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00'
'01.070.00';'8539.1';'Faróis e projetores, em unidades seladas'
'01.071.00';'8539.2';'Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos'
'01.072.00';'8544.20.00';'Cabos coaxiais e outros condutores elétricos coaxiais'
'01.073.00';'8544.30.00';'Jogos de fios para velas de ignição e outros jogos de fios'
'01.074.00';'8707';'Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas'
'01.075.00';'8708';'Partes e acessórios dos veículos automóveis das posições 8701 a 8705'
'01.076.00';'8714.1';'Parte e acessórios de motocicletas (incluídos os ciclomotores)'
'01.077.00';'8716.90.90';'Engates para reboques e semirreboques'
'01.078.00';'9026.1';'Medidores de nível; Medidores de vazão'
'01.079.00';'9026.2';'Aparelhos para medida ou controle da pressão'
'01.080.00';'9029';'Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios'
'01.081.00';'9030.33.21';'Amperímetros'
'01.082.00';'9031.80.40';'Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)'
'01.083.00';'9032.89.2';'Controladores eletrônicos'
'01.084.00';'9104.00.00';'Relógios para painéis de instrumentos e relógios semelhantes'
'01.085.00';'9401.20.00';'Assentos e partes de assentos'
'01.085.00';'9401.90.90';'Assentos e partes de assentos'
'01.086.00';'9613.80.00';'Acendedores'
'01.087.00';'4009';'Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios'
'01.088.00';'4504.90.00';'Juntas de vedação de cortiça natural e de amianto'
'01.088.00';'6812.99.10';'Juntas de vedação de cortiça natural e de amianto'
'01.089.00';'4823.40.00';'Papel-diagrama para tacógrafo, em disco'
'01.090.00';'3919.10.00';'Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários'
'01.090.00';'3919.90.00';'Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários'
'01.090.00';'8708.29.99';'Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários'
'01.091.00';'8412.31.10';'Cilindros pneumáticos'
'01.092.00';'8413.19.00 8413.50.90 8413.81.00';'Bomba elétrica de lavador de para-brisa'
'01.093.00';'8413.60.19 8413.70.10';'Bomba de assistência de direção hidráulica'
'01.094.00';'8414.59.10 8414.59.90';'Motoventiladores'
'01.095.00';'8421.39.90';'Filtros de pólen do ar-condicionado'
'01.096.00';'8501.10.19';'“Máquina” de vidro elétrico de porta'
'01.097.00';'8501.31.10';'Motor de limpador de para-brisa'
'01.098.00';'8504.50.00';'Bobinas de reatância e de autoindução'
'01.099.00';'8507.20
8507.30';'Baterias de chumbo e de níquel-cádmio'
'01.100.00';'8512.30.00';'Aparelhos de sinalização acústica (buzina)'
'01.101.00';'9032.89.8
9032.89.9';'Instrumentos para regulação de grandezas não elétricas'
'01.102.00';'9027.10.00';'Analisadores de gases ou de fumaça (sonda lambda)'
'01.103.00';'4008.11.00';'Perfilados de borracha vulcanizada não endurecida'
'01.104.00';'5601.22.19';'Artefatos de pasta de fibra de uso automotivo'
'01.105.00';'5703.20.00';'Tapetes/carpetes - nailón'
'01.106.00';'5703.30.00';'Tapetes de matérias têxteis sintéticas'
'01.107.00';'5911.90.00';'Forração interior capacete'
'01.108.00';'6903.90.99';'Outros para-brisas'
'01.109.00';'7007.29.00';'Moldura com espelho'
'01.110.00';'7314.50.00';'Corrente de transmissão'
'01.111.00';'7315.11.00';'Corrente transmissão'
'01.112.00';'7315.12.10';'Outras correntes de transmissão'
'01.113.00';'8418.99.00';'Condensador tubular metálico'
'01.114.00';'8419.5';'Trocadores de calor'
'01.115.00';'8424.90.90';'Partes de aparelhos mecânicos de pulverizar ou dispersar'
'01.116.00';'8425.49.10';'Macacos manuais para veículos'
'01.117.00';'8431.41.00';'Caçambas, pás, ganchos e tenazes para máquinas rodoviárias'
'01.118.00';'8501.61.00';'Geradores de corrente alternada de potência não superior a 75 kva'
'01.119.00';'8531.10.90';'Aparelhos elétricos para alarme de uso automotivo'
'01.120.00';'9014.10.00';'Bússolas'
'01.121.00';'9025.19.90';'Indicadores de temperatura'
'01.122.00';'9025.90.10';'Partes de indicadores de temperatura'
'01.123.00';'9026.9';'Partes de aparelhos de medida ou controle'
'01.124.00';'9032.10.10';'Termostatos'
'01.125.00';'9032.10.90';'Instrumentos e aparelhos para regulação'
'01.126.00';'9032.20.00';'Pressostatos'
'01.127.00';'8716.9';'Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00'
'01.128.00';'7322.90.10';'Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis'
'01.999.00';' ';'Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo'
'02.001.00';'2205
2208.90.00';'Aperitivos, amargos, bitter e similares'
'02.002.00';'2208.90.00';'Batida e similares'
'02.003.00';'2208.90.00';'Bebida ice'
'02.004.00';'2207.20
2208.40.00';'Cachaça e aguardentes'
'02.005.00';'2205
2206.00.90
2208.90.00';'Catuaba e similares'
'02.006.00';'2208.20.00';'Conhaque, brandy e similares'
'02.007.00';'2206.00.90
2208.90.00';'Cooler'
'02.008.00';'2208.50.00';'Gim (gin) e genebra'
'02.009.00';'2205
2206.00.90
2208.90.00';'Jurubeba e similares'
'02.010.00';'2208.70.00';'Licores e similares'
'02.011.00';'2208.20.00';'Pisco'
'02.012.00';'2208.40.00';'Rum'
'02.013.00';'2206.00.90';'Saquê'
'02.014.00';'2208.90.00';'Steinhaeger'
'02.015.00';'2208.90.00';'Tequila'
'02.016.00';'2208.3';'Uísque'
'02.017.00';'2205';'Vermute e similares'
'02.018.00';'2208.60.00';'Vodka'
'02.019.00';'2208.90.00';'Derivados de vodka'
'02.020.00';'2208.90.00';'Arak'
'02.021.00';'2208.20.00';'Aguardente vínica / grappa'
'02.022.00';'2206.00.10';'Sidra e similares'
'02.023.00';'2205
2206.00.90
2208.90.00';'Sangrias e coquetéis'
'02.024.00';'2204';'Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas.'
'02.999.00';'2205
2206
2207
2208';'Outras bebidas alcoólicas não especificadas nos itens anteriores'
'03.001.00';'2201.10.00';'Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml'
'03.002.00';'2201.10.00';'Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no CEST 03.024.00 e 03.025.00'
'03.002.00';'2201.10.00';'Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml'
'03.003.00';'2201.10.00';'Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml'
'03.004.00';'2201.10.00';'Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml'
'03.005.00';'2201.10.00';'Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml'
'03.006.00';'2201.10.00';'Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no CEST 03.024.00 e 03.025.00'
'03.006.00';'2201.10.00';'Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas'
'03.007.00';'2202.10.00';'Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes'
'03.008.00';'2202.99.00';'Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente'
'03.010.00';'2202';'Refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no CEST 03.011.01'
'03.010.00';'2202';'Refrigerante em garrafa com capacidade igual ou superior a 600 ml'
'03.011.00';'2202';'Demais refrigerantes, exceto os classificados no CEST 03.010.00 e 03.011.01'
'03.011.00';'2202';'Demais refrigerantes'
'03.011.01';'2202';'Espumantes sem álcool'
'03.012.00';'2106.90.10';'Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”'
'03.013.00';'2106.90
2202.99.00';'Bebidas energéticas em embalagem com capacidade inferior a 600ml'
'03.014.00';'2106.90
2202.99.00';'Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml'
'03.015.00';'2106.90
2202.99.00';'Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml'
'03.016.00';'2106.90
2202.99.00';'Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml'
'03.021.00';'2203.00.00';'Cerveja'
'03.022.00';'2202.91.00';'Cerveja sem álcool'
'03.023.00';'2203.00.00';'Chope'
'03.024.00';'2201.10.00';'Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros'
'03.025.00';'2201.10.00';'Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros'
'04.001.00';'2402';'Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos'
'04.002.00';'2403.1';'Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção'
'05.001.00';'2523';'Cimento'
'06.001.00';'2207.10.10';'Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível)'
'06.001.01';'2207.10.90';'Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível)'
'06.002.00';'2710.12.59';'Gasolina automotiva A, exceto Premium'
'06.002.01';'2710.12.59';'Gasolina automotiva C, exceto Premium'
'06.002.02';'2710.12.59';'Gasolina automotiva A Premium'
'06.002.03';'2710.12.59';'Gasolina automotiva C Premium'
'06.003.00';'2710.12.51';'Gasolina de aviação'
'06.004.00';'2710.19.19';'Querosenes, exceto de aviação'
'06.005.00';'2710.19.11';'Querosene de aviação'
'06.006.00';'2710.19.2';'Óleo diesel A, exceto S10 e Marítimo'
'06.006.01';'2710.19.2';'Óleo diesel B, exceto S10 (mistura obrigatória)'
'06.006.02';'2710.19.2';'Óleo diesel B, exceto S10 (misturas autorizativas)'
'06.006.03';'2710.19.2';'Óleo diesel B, exceto S10 (misturas experimentais)'
'06.006.04';'2710.19.2';'Óleo diesel A S10'
'06.006.05';'2710.19.2';'Óleo diesel B S10 (mistura obrigatória)'
'06.006.06';'2710.19.2';'Óleo diesel B S10 (misturas autorizativas)'
'06.006.07';'2710.19.2';'Óleo diesel B S10 (misturas experimentais)'
'06.006.08';'2710.19.2';'Óleo Diesel Marítimo'
'06.006.09';'2710.19.2';'Outros óleos combustíveis, exceto os classificados no CEST 06.006.10 e 06.006.11'
'06.006.09';'2710.19.2';'Outros óleos combustíveis'
'06.006.10';'2710.19.2';'Óleo combustível derivado de xisto'
'06.006.11';'2710.19.22';'Óleo combustível pesado'
'06.007.00';'2710.19.3';'Óleos lubrificantes'
'06.008.00';'2710.19.9';'Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os resíduos de óleos e exceto as graxas lubrificantes'
'06.008.00';'2710.19.9';'Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de inerais betuminosos, exceto os que contenham biodiesel e exceto os resíduos de óleos'
'06.008.01';'2710.19.9';'Graxa lubrificante'
'06.009.00';'2710.9';'Resíduos de óleos'
'06.010.00';'2711';'Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, Gás Natural e Gás de xisto.'
'06.011.00';'2711.19.10';'Gás liquefeito de petróleo em botijão de 13 Kg (GLP)'
'06.011.01';'2711.19.10';'Gás liquefeito de petróleo (GLP), exceto em botijão de 13 Kg'
'06.011.02';'2711.19.10';'Gás liquefeito de petróleo em botijão de 13 Kg (GLGNn)'
'06.011.03';'2711.19.10';'Gás liquefeito de petróleo (GLGNn), exceto em botijão de 13 Kg'
'06.011.04';'2711.19.10';'Gás liquefeito de petróleo em botijão de 13 Kg (GLGNi)'
'06.011.05';'2711.19.10';'Gás liquefeito de petróleo (GLGNi), exceto em botijão de 13 Kg'
'06.011.06';'2711.19.10';'Gás liquefeito de petróleo em botijão de 13 kg (Misturas)'
'06.011.07';'2711.19.10';'Gás liquefeito de petróleo (Misturas), exceto em botijão de 13 Kg'
'06.012.00';'2711.11.00';'Gás Natural Liquefeito'
'06.013.00';'2711.21.00';'Gás Natural Gasoso'
'06.014.00';'2711.29.90';'Gás de xisto'
'06.015.00';'2713';'Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos'
'06.016.00';'3826.00.00';'Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos'
'06.017.00';'3403';'Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos'
'06.018.00';'2710.20.00';'Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos'
'07.001.00';'2716.00.00';'Energia elétrica'
'08.001.00';'4016.99.90';'Ferramentas de borracha vulcanizada não endurecida'
'08.002.00';'4417.00.10 4417.00.90';'Ferramentas, armações e cabos de ferramentas, de madeira'
'08.003.00';'6804';'Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias'
'08.004.00';'8201';'Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura'
'08.005.00';'8202.20.00';'Folhas de serras de fita'
'08.006.00';'8202.91.00';'Lâminas de serras máquinas'
'08.007.00';'8202';'Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos CEST 08.005.00 e 08.006.00'
'08.008.00';'8203
 ';'Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90'
'08.009.00';'8204';'Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos'
'08.010.00';'8205';'Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal'
'08.011.00';'8206.00.00';'Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho'
'08.012.00';'8207.40
8207.60
8207.70';'Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar'
'08.013.00';'8207';'Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy e as classificadas no CEST 08.012.00'
'08.014.00';'8208';'Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos'
'08.015.00';'8209.00.11';'Plaquetas ou pastilhas intercambiáveis'
'08.016.00';'8209';'Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais (“cermets”), exceto as classificadas no CEST 08.015.00'
'08.017.00';'8211';'Facas de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâminas, exceto as de uso doméstico'
'08.018.00';'8213';'Tesouras e suas lâminas'
'08.019.00';'8467';'Ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual, exceto o descrito no CEST 08.019.01'
'08.019.01';'8467.81.00';'Moto-serras portáteis de corrente, com motor incorporado, não elétrico, de uso agrícola'
'08.020.00';'9015';'Instrumentos e aparelhos de geodesia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geofísica, exceto bussolas; telêmetros
 '
'08.021.00';'9017.20.00
9017.30
9017.80
9017.90.90';'Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios'
'08.022.00';'9025.11.90
9025.90.10';'Termômetros, suas partes e acessórios'
'08.023.00';'9025.19
9025.90.90';'Pirômetros, suas partes e acessórios'
'09.001.00';'8539';'Lâmpadas elétricas'
'09.002.00';'8540';'Lâmpadas eletrônicas'
'09.003.00';'8504.10.00';'Reatores para lâmpadas ou tubos de descargas'
'09.004.00';'8536.5';'“Starter”'
'09.005.00';'8539.50.00';'Lâmpadas de LED (Diodos Emissores de Luz)'
'10.001.00';'2522';'Cal'
'10.002.00';'3816.00.1
3824.50.00';'Argamassas'
'10.003.00';'3214.90.00';'Outras argamassas'
'10.004.00';'3910';'Silicones em formas primárias, para uso na construção'
'10.005.00';'3916';'Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção'
'10.006.00';'3917';'Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção'
'10.007.00';'3918';'Revestimento de pavimento de PVC e outros plásticos'
'10.008.00';'3919';'Chapas, folhas, tiras, fitas, películas e outras formas planas, autoadesivas, de plásticos, mesmo em rolos, para uso na construção'
'10.009.00';'3919
3920
3921';'Veda rosca, lona plástica para uso na construção, fitas isolantes e afins'
'10.010.00';'3921';'Telha de plástico, mesmo reforçada com fibra de vidro'
